rmsd	tmscore
1.94	0.75113
1.95	0.74632
1.94	0.74447
2.02	0.73106
2.09	0.72925
2.14	0.72199
2.37	0.72161
2.04	0.73787
2.55	0.70599
1.94	0.73836
1.91	0.74052
2.16	0.71809
2.0	0.73637
2.11	0.71735
2.02	0.72707
1.99	0.73775
2.05	0.73471
2.23	0.70088
1.95	0.74174
2.14	0.7282
2.23	0.72239
2.02	0.74002
2.05	0.73037
1.9	0.75017
1.94	0.74574
1.88	0.75112
1.94	0.74641
2.11	0.73223
2.01	0.74211
2.3	0.71207
2.1	0.7384
1.83	0.75365
2.04	0.74144
2.1	0.74329
2.01	0.74906
2.45	0.73287
2.02	0.74118
1.84	0.75044
1.87	0.75728
2.27	0.74597
2.26	0.71083
2.07	0.75347
1.92	0.74123
2.08	0.72618
1.9	0.74854
1.92	0.75118
2.16	0.74144
2.11	0.74415
2.03	0.75686
2.16	0.72013
2.32	0.7325
2.73	0.68065
2.26	0.72468
2.32	0.71113
2.12	0.73193
2.04	0.74594
2.23	0.72321
2.09	0.73746
2.05	0.75295
1.92	0.75745
2.26	0.71994
1.86	0.75871
2.06	0.74735
1.99	0.74257
2.12	0.74453
2.22	0.72788
2.16	0.73399
2.42	0.71756
2.17	0.73423
2.52	0.69677
1.95	0.74847
2.05	0.74182
2.36	0.71138
2.21	0.72758
2.3	0.7083
2.24	0.71272
2.22	0.72769
2.22	0.72889
2.26	0.71225
2.01	0.74924
2.06	0.72493
2.1	0.72144
2.09	0.74163
2.38	0.72092
2.1	0.74036
1.94	0.76018
2.02	0.75118
2.02	0.75331
2.17	0.73799
2.1	0.74224
2.49	0.69975
2.21	0.73817
2.02	0.74619
1.98	0.74376
1.98	0.74036
2.19	0.73989
2.29	0.73822
2.22	0.73016
2.12	0.74349
2.05	0.75395
2.07	0.75097
2.4	0.69615
2.19	0.75075
2.05	0.74044
2.35	0.71271
2.07	0.74462
2.02	0.7491
2.11	0.73753
1.92	0.75654
1.98	0.75203
2.13	0.7349
2.25	0.74394
2.5	0.71023
2.22	0.72342
1.99	0.74157
2.04	0.72997
1.98	0.74454
1.98	0.74628
1.92	0.74652
2.02	0.74383
2.09	0.74851
2.14	0.73127
1.9	0.76299
1.87	0.75974
1.97	0.74557
2.09	0.74065
2.05	0.74097
2.08	0.73275
2.33	0.72733
1.97	0.75118
2.54	0.71792
1.92	0.74428
1.91	0.74433
2.13	0.72855
2.01	0.74111
2.02	0.73314
1.94	0.74055
1.95	0.74954
1.97	0.74659
2.23	0.70657
1.91	0.75341
2.16	0.73123
2.16	0.73586
1.95	0.75238
2.41	0.74271
1.88	0.75773
1.93	0.75105
1.83	0.7652
1.88	0.75589
2.07	0.73335
2.04	0.74715
2.25	0.72598
2.11	0.74566
1.82	0.76129
1.98	0.75299
1.98	0.74735
2.08	0.75034
2.4	0.73602
1.77	0.74695
1.81	0.76029
1.9	0.75777
2.22	0.75536
2.15	0.72088
2.03	0.76016
1.84	0.75611
2.06	0.73411
1.81	0.76261
1.76	0.76269
1.81	0.7603
2.01	0.76403
1.75	0.76664
2.07	0.74682
2.01	0.75229
2.52	0.71024
2.04	0.74959
2.11	0.7399
2.02	0.75017
1.97	0.75966
1.9	0.74308
1.93	0.76488
1.75	0.76465
1.83	0.76107
2.07	0.74141
1.72	0.77173
1.95	0.76915
1.86	0.75407
1.84	0.7576
1.87	0.74982
1.81	0.75589
2.13	0.73129
1.83	0.75262
2.23	0.731
1.93	0.75953
1.94	0.76408
1.96	0.73589
2.03	0.75302
2.08	0.72987
2.12	0.73589
2.0	0.74756
1.92	0.7385
2.15	0.73222
1.94	0.76422
2.13	0.73904
1.86	0.74567
2.01	0.75732
2.07	0.7428
2.01	0.76085
1.7	0.76479
1.93	0.76862
1.67	0.76852
2.05	0.75551
2.03	0.75508
2.2	0.72181
2.05	0.75609
1.93	0.76331
1.83	0.75423
1.81	0.75515
2.08	0.75534
2.19	0.75573
1.94	0.74709
1.8	0.75935
1.77	0.76171
1.97	0.7666
2.19	0.72206
2.11	0.75939
1.92	0.76378
2.01	0.73477
1.92	0.76796
1.88	0.74954
2.08	0.7218
1.97	0.73129
2.03	0.72425
2.33	0.71756
1.94	0.71965
2.66	0.69041
2.37	0.70223
2.15	0.71633
2.22	0.73068
2.15	0.70399
1.88	0.7425
2.04	0.71581
2.04	0.72054
2.16	0.73355
2.35	0.69854
1.98	0.73244
2.09	0.73561
2.08	0.72354
2.42	0.71069
2.19	0.73703
2.13	0.71089
1.82	0.73117
2.32	0.72393
2.38	0.68944
2.12	0.71442
1.93	0.74473
1.96	0.73237
2.02	0.73597
2.17	0.72191
2.18	0.72045
2.1	0.73829
1.98	0.73066
2.56	0.66922
2.23	0.71461
2.26	0.68824
2.13	0.70819
2.17	0.73934
2.14	0.73202
2.05	0.74442
2.04	0.71851
2.2	0.72469
1.92	0.73436
2.06	0.71394
2.08	0.71263
2.2	0.72304
2.19	0.73194
2.03	0.7355
1.97	0.73693
1.75	0.75745
1.91	0.73965
2.01	0.71847
1.91	0.74206
1.88	0.74438
1.76	0.75606
1.84	0.73121
2.14	0.7041
1.94	0.75035
2.1	0.73194
2.22	0.71836
1.8	0.74786
2.35	0.69639
2.62	0.66067
2.54	0.68055
2.53	0.66503
2.7	0.66346
2.56	0.6653
1.93	0.7109
2.89	0.63117
2.47	0.67583
2.59	0.66692
2.75	0.64926
2.14	0.7124
2.63	0.65381
2.57	0.66386
2.62	0.67754
2.74	0.65078
2.4	0.67951
2.52	0.67846
2.45	0.67533
2.78	0.65699
2.46	0.69635
2.68	0.65056
2.32	0.70324
2.48	0.6911
2.97	0.62844
